Product Number,Title,Short Title,Final Price,Unit Cost,In Stock,Manufactory,Ship From Country Name,Rating,Number of Reviews,Item Model,Shipping Charge,Warranty ID,Warranty Name,Best Selling Ranking,Lowest Price 30 Days,Item Length,Item Width,Item Height,Item Weight,Country of Manufacture,Limit Quantity,Seller ID,Seller Name,Seller Rating,Seller Reviews
9SIB1V8FMT6936,KingSpec SSD Internal Solid State Drive 1TB 2.5 Inch SATA III NAND Flash Data Storage PC laptop Desktop Transfer,KingSpec SSD Internal Solid State Drive 1TB 2.5 Inch SATA III NAND Flash Data Storage PC laptop Desktop Transfer,45.99$,78.89$,Yes,KingSpec,China,3,108,P3-1TB,0.01,370814,KingSpec Official  Store Return Policy,47,45.99$,4.75,3.5,0.75,0.01,CHN,99999,B1V8,KingSpec Official Store,5.0,555.0
20-331-262,Team Group 64GB C186 USB 3.2 Gen 1 Flash Drive (TC186364GB01),Team C186 64GB USB 3.2 Gen 1 Flash Drive,5.19$,8.99$,Yes,Team Group,United States,4,530,TC186364GB01,0.01,53,Extended Holiday Return Policy,10,4.49$,4.8,3.6,0.6,0.04,,20,,,,
14-932-550,GIGABYTE Gaming GeForce RTX 4090 Video Card GV-N4090GAMING OC-24GD,GIGABYTE GV-N4090GAMING OC-24GD Gaming GeForce RTX 4090 Video Card,1899.99$,1899.99$,Yes,GIGABYTE,United States,5,418,GV-N4090GAMING OC-24GD,0.01,53,Extended Holiday Return Policy,12,1799.99$,17.87,10.75,4.33,7.27,USA,1,,,,
32-840-006,Instacart $100 Gift Card (Email Delivery),Instacart ISTC-10000,85$,100$,Yes,Instacart,United States,5,12,ISTC-10000,0.01,95,Digital Products Return Policy,1,85$,1.0,1.0,1.0,1.0,,10,,,,
20-147-861,"SAMSUNG 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",SAMSUNG 990 PRO MZ-V9P2T0B/AM,149.99$,249.99$,Yes,SAMSUNG,United States,5,444,MZ-V9P2T0B/AM,0.01,53,Extended Holiday Return Policy,1,149.99$,7.8,4.0,1.0,0.17,KOR,2,,,,
9SIAXSYJX32402,"eufy Security S380 HomeBase (HomeBase 3),eufy Edge Security Center, Local Expandable Storage up to 16TB, eufy Security Product Compatibility, Advanced Encryption, No Monthly Fee","eufy Security S380 HomeBase (HomeBase 3),eufy Edge Security Center, Local Expandable Storage up to 16TB, eufy Security Product Compatibility, Advanced Encryption, No Monthly Fee",149.99$,149.99$,Yes,eufy,United States,4,3,T80301D1,0.01,360811,Eufy Official Store Return Policy,1,99.99$,8.07,5.2,3.05,2.2,USA,5,AXSY,Eufy Official Store,5.0,140.0
13-144-628,MSI B650 GAMING PLUS WIFI AM5 AMD B650 SATA 6Gb/s ATX Motherboard,MSI B650 GAMING PLUS WIFI AM5 AMD B650 SATA 6Gb/s ATX Motherboard,169.99$,199.99$,Yes,MSI,United States,4,465,B650 GAMING PLUS WIFI,0.01,53,Extended Holiday Return Policy,1,148.49$,13.56,10.55,2.76,3.5,,5,,,,
19-113-770,AMD Ryzen 5 7600X - Zen 4 6-Core 4.7 GHz - Socket AM5 - 105W Desktop Processor (100-100000593WOF),AMD Ryzen 5 7600X Desktop Processor,224$,299$,Yes,AMD,United States,5,737,100-100000593WOF,0.01,44,Standard Return Policy,2,196.3$,4.8,4.8,1.5,0.24,USA,3,,,,
20-147-879,"SAMSUNG 990 PRO SSD 4TB PCIe 4.0 M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P4T0B/AM","SAMSUNG SSD 990 PRO 4TB, PCIe Gen4 M.2 2280",299.99$,464.99$,Yes,SAMSUNG,United States,5,444,MZ-V9P4T0B/AM,0.01,53,Extended Holiday Return Policy,2,289.99$,6.5,4.6,2.8,0.15,KOR,3,,,,
17-139-306,CORSAIR RM850e Fully Modular Low-Noise ATX Power Supply - ATX 3.0 & PCIe 5.0 Compliant - 105°C-Rated Capacitors - 80 PLUS Gold  Efficiency - Modern Standby Support,CORSAIR RM850e Fully Modular Low-Noise ATX Power Supply - ATX 3.0 & PCIe 5.0 Compliant - 105°C-Rated Capacitors - 80 PLUS Gold  Efficiency - Modern Standby Support,109.99$,129.99$,Yes,Corsair,United States,5,997,CP-9020263-NA,0.01,53,Extended Holiday Return Policy,1,108.89$,11.3,7.24,5.08,5.7,USA,3,,,,
24-011-467,"Acer Nitro VG271U M3bmiipx 27"" WQHD (2560 x 1440) IPS Monitor with AMD FreeSync Premium Technology, Up to 180Hz, Up to 0.5ms, DCI-P3 95% (1 x Display Port 1.2, 2 x HDMI 2.0 and 1 x Audio Out)","Acer 27"" QHD 2K 180Hz IPS Gaming Monitor",159.99$,269.99$,Yes,Acer America,United States,4,80,UM.HV1AA.301,0.01,53,Extended Holiday Return Policy,4,159.99$,26.77,18.35,5.71,16.87,,5,,,,
13-162-130,ASRock B650M PRO RS AM5 Micro ATX Motherboard,ASRock B650M PRO RS Micro ATX Motherboard,114.99$,139.99$,Yes,ASRock,United States,4,606,B650M Pro RS,0.01,53,Extended Holiday Return Policy,12,114.99$,10.83,10.24,2.36,4.0,,5,,,,
20-147-886,"SAMSUNG 990 EVO SSD 1TB, PCIe Gen 4x4, Gen 5x2 M.2 2280 NVMe Internal Solid State Drive, Speeds Up to 5,000MB/s, Upgrade Storage for PC Computer, Laptop, MZ-V9E1T0B/AM, Black","SAMSUNG 990 EVO SSD 1TB, PCIe Gen  4x4 | Gen 5x2 M.2 2280, Speeds Up-to  5,000MB/s  (MZ-V9E1T0B/AM)",69.99$,149.99$,Yes,SAMSUNG,United States,5,46,MZ-V9E1T0B/AM,0.01,53,Extended Holiday Return Policy,5,69.98$,7.0,4.0,1.0,0.15,KOR,3,,,,
19-113-843,AMD Ryzen 7 9700X - Ryzen 7 9000 Series Granite Ridge (Zen 5) 8-Core 3.8 GHz - Socket AM5 65W - Radeon Graphics Processor - 100-100001404WOF,AMD Ryzen 7 9700X Processor,326.99$,359$,Yes,AMD,United States,5,42,100-100001404WOF,0.01,53,Extended Holiday Return Policy,10,311.99$,5.0,5.0,1.5,0.25,USA,1,,,,
9SIBV1MK713275,"AOACE Gaming PC Desktop INTEL Core i5 12400F 2.5 GHz, NVIDIA RTX 4060 8G DLSS 3, 32GB DDR4 RAM 3200MHz,1TB NVMe PCIe4.0,  Wi-Fi6E, Game Design Office console,Sea View Room,Windows 11 Home 64-bit","AOACE Gaming PC Desktop INTEL Core i5 12400F 2.5 GHz, NVIDIA RTX 4060 8G DLSS 3, 32GB DDR4 RAM 3200MHz,1TB NVMe PCIe4.0,  Wi-Fi6E, Game Design Office console,Sea View Room,Windows 11 Home 64-bit",779.99$,1599.99$,Yes,AOACE,United States,4,37,I5 12400F-RTX4060-32G-1T,0.01,418502,AOACE Digital Return Policy,2,772.19$,19.75,17.0,14.0,21.55,USA,999999,BV1M,AOACE Digital,4.0,24.0
